,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,PourPoint,DiffusionCoefficient,Density40C
355,C=C(C=CC(C)=C(C)Cc1ccccc1C)C(CCC)C(C)c1ccc(C)cc1,<rdkit.Chem.rdchem.Mol object at 0x14e096172900>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",29,Generation_10_Molecule_355,-0.00000,386.62299999999993,<rdkit.Chem.rdchem.Mol object at 0x14e096172580>,,,,,,,,,,,,
356,CCCC(CC)CCCCCCCCCCCC(C)CCc1ccccc1C,<rdkit.Chem.rdchem.Mol object at 0x14e096172a50>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",28,Generation_10_Molecule_356,-0.00000,386.70799999999997,<rdkit.Chem.rdchem.Mol object at 0x14e096167970>,,,,,,,,,,,,
357,C=CC(C=CCCCCC(=O)CCCCCCCc1ccccc1CC)OC,<rdkit.Chem.rdchem.Mol object at 0x14e0961729e0>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",28,Generation_10_Molecule_357,0.00000,384.604,<rdkit.Chem.rdchem.Mol object at 0x14e096172120>,,,,,,,,,,,,
358,CCCCC(CCC)CCCC(CC)CCCCCc1ccccc1CCC,<rdkit.Chem.rdchem.Mol object at 0x14e096172510>,"['AddAtom', 'InsertAromatic', 'ReplaceAtom']",28,Generation_10_Molecule_358,-0.00000,386.70799999999997,<rdkit.Chem.rdchem.Mol object at 0x14e0961c4c80>,,,,,,,,,,,,
359,C=C(CC)C(Cc1ccc(C)cc1)C(=C)CCCC(C)=C(C)Cc1ccccc1C,<rdkit.Chem.rdchem.Mol object at 0x14e096172c10>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",30,Generation_10_Molecule_359,-0.00000,400.65,<rdkit.Chem.rdchem.Mol object at 0x14e0961d8cf0>,,,,,,,,,,,,
360,CCOCCCCCCC=CC(O)CCc1ccccc1CC(CC)COC,<rdkit.Chem.rdchem.Mol object at 0x14e096172ac0>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",28,Generation_10_Molecule_360,-0.00000,390.608,<rdkit.Chem.rdchem.Mol object at 0x14e0961d8dd0>,,,,,,,,,,,,
361,CCCCCC(CC)CCC=CCCCC(C)CCc1cccc(CCC)c1,<rdkit.Chem.rdchem.Mol object at 0x14e096172dd0>,"['RemoveAtom', 'ReplaceBond', 'RemoveAtom']",28,Generation_10_Molecule_361,-0.00000,384.692,<rdkit.Chem.rdchem.Mol object at 0x14e0961d8ba0>,,,,,,,,,,,,
362,CCCCCC(CC)CCCCCCCCCCc1cccc(CCC)c1,<rdkit.Chem.rdchem.Mol object at 0x14e0961bb2e0>,"['RemoveAtom', 'ReplaceBond', 'RemoveAtom']",27,Generation_10_Molecule_362,-0.00000,372.681,<rdkit.Chem.rdchem.Mol object at 0x14e096172890>,,,,,,,,,,,,
363,CCCC(CC)CCCCCCCC=CCCC(C)CCc1ccccc1C,<rdkit.Chem.rdchem.Mol object at 0x14e0961bb040>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",28,Generation_10_Molecule_363,-0.00000,384.692,<rdkit.Chem.rdchem.Mol object at 0x14e09615f9e0>,,,,,,,,,,,,
364,CCCC(CC)Cc1ccccc1CCC(O)C=CCCCCCCOCC,<rdkit.Chem.rdchem.Mol object at 0x14e0961bb200>,"['ReplaceBond', 'ReplaceAtom', 'ReplaceAtom']",28,Generation_10_Molecule_364,-0.00000,388.636,<rdkit.Chem.rdchem.Mol object at 0x14e0961cdeb0>,,,,,,,,,,,,
