,SMILES,MolObject,MutationList,HeavyAtoms,ID,Charge,MolMass,Predecessor,Score,Density100C,DViscosity40C,DViscosity100C,KViscosity40C,KViscosity100C,KVI,DVI,ThermalConductivity,PourPoint,DiffusionCoefficient,Density40C
266,C=C(COCCO)C(C)C,<rdkit.Chem.rdchem.Mol object at 0x000001C589625000>,"['ReplaceAtom', 'ReplaceAtom', 'RemoveAtom']",10,Generation_8_Molecule_266,0.00000,144.214,<rdkit.Chem.rdchem.Mol object at 0x000001C589624F20>,17148,,,,,,,,,,,
267,C=CC(CCC)COC,<rdkit.Chem.rdchem.Mol object at 0x000001C589625380>,"['RemoveAtom', 'RemoveAtom', 'RemoveAtom']",9,Generation_8_Molecule_267,0.00000,128.215,<rdkit.Chem.rdchem.Mol object at 0x000001C589625150>,13177,,,,,,,,,,,
268,CCCCCCCCCC(C)CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589625230>,"['RemoveAtom', 'AddAtom', 'ReplaceBond']",13,Generation_8_Molecule_268,0.00000,184.367,<rdkit.Chem.rdchem.Mol object at 0x000001C589611460>,13035,,,,,,,,,,,
269,COC(C)=CO,<rdkit.Chem.rdchem.Mol object at 0x000001C589625460>,"['ReplaceAtom', 'ReplaceBond', 'AddAtom']",6,Generation_8_Molecule_269,-0.14500,88.106,<rdkit.Chem.rdchem.Mol object at 0x000001C5896253F0>,11489,,,,,,,,,,,
270,CC(O)OCC(O)O,<rdkit.Chem.rdchem.Mol object at 0x000001C5896250E0>,"['AddFragment', 'ReplaceAtom', 'RemoveAtom']",8,Generation_8_Molecule_270,-0.26500,122.12,<rdkit.Chem.rdchem.Mol object at 0x000001C5896251C0>,28980,,,,,,,,,,,
271,C=CCCCCC=CC,<rdkit.Chem.rdchem.Mol object at 0x000001C589625620>,"['RemoveAtom', 'ReplaceAtom', 'RemoveAtom']",9,Generation_8_Molecule_271,0.04500,124.22699999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C5896252A0>,23733,,,,,,,,,,,
272,C=COC(C)OC,<rdkit.Chem.rdchem.Mol object at 0x000001C589625700>,"['ReplaceBond', 'AddAtom', 'AddAtom']",7,Generation_8_Molecule_272,-0.11500,102.133,<rdkit.Chem.rdchem.Mol object at 0x000001C589624DD0>,4742,,,,,,,,,,,
273,CCOC(C)(C)COC,<rdkit.Chem.rdchem.Mol object at 0x000001C5896255B0>,"['RemoveAtom', 'RemoveAtom', 'RemoveAtom']",9,Generation_8_Molecule_273,0.00000,132.203,<rdkit.Chem.rdchem.Mol object at 0x000001C589625070>,36033,,,,,,,,,,,
274,COC=COCO,<rdkit.Chem.rdchem.Mol object at 0x000001C589625540>,"['ReplaceAtom', 'ReplaceBond', 'AddAtom']",7,Generation_8_Molecule_274,-0.23000,104.10499999999999,<rdkit.Chem.rdchem.Mol object at 0x000001C589625770>,27660,,,,,,,,,,,
275,C=CC(C)O,<rdkit.Chem.rdchem.Mol object at 0x000001C5896258C0>,"['ReplaceAtom', 'AddAtom', 'AddAtom']",5,Generation_8_Molecule_275,-0.00000,72.107,<rdkit.Chem.rdchem.Mol object at 0x000001C589624E40>,18386,,,,,,,,,,,
276,CCCCCCCCCCCC(C)(C)CCC,<rdkit.Chem.rdchem.Mol object at 0x000001C5896254D0>,"['RemoveAtom', 'RemoveAtom', 'RemoveAtom']",17,Generation_8_Molecule_276,-0.00000,240.47499999999997,<rdkit.Chem.rdchem.Mol object at 0x000001C5895F3AE0>,30560,,,,,,,,,,,
